freq (MHz);s11 (dB);real Z_in;imag Z_in;Z_in total
1536.0;-0.029960860491250848;64.9232491565087;-1369.4774947446033;1371.0155494716291
1538.0;-0.030067538117991156;64.98720216445044;-1367.7097530270457;1369.2528272640031
1540.0;-0.030174018925342702;65.05028973820944;-1365.9476158034117;1367.495677987338
1542.0;-0.030280296294135596;65.11250388834273;-1364.1910536054559;1365.744071522836
1544.0;-0.030386363592596402;65.17383667875684;-1362.4400370895232;1363.997977876775
1546.0;-0.030492214175592194;65.23428022435984;-1360.69453703449;1362.2573671784253
1548.0;-0.03059784138388818;65.29382668874716;-1358.9545243397024;1360.522209677963
1550.0;-0.030703238543407247;65.35246828192102;-1357.2199700228975;1358.7924757443625
1552.0;-0.030808398964477873;65.41019725803609;-1355.4908452181219;1357.068135863293
1554.0;-0.030913315941117906;65.4670059131889;-1353.7671211736376;1355.349160634999
1556.0;-0.031017982750246677;65.52288658322195;-1352.0487692498132;1353.6355207721656
1558.0;-0.03112239265099781;65.577831641572;-1350.3357609170105;1351.927187097786
1560.0;-0.031226538883933272;65.63183349714528;-1348.6280677534567;1350.224130543007
1562.0;-0.03133041467033298;65.6848845922054;-1346.9256614431054;1348.5263221449695
1564.0;-0.03143401321144469;65.7369774003164;-1345.2285137734827;1346.8337330446334
1566.0;-0.03153732768773296;65.78810442428819;-1343.5365966335269;1345.146334484595
1568.0;-0.03164035125816484;65.83825819416397;-1341.8498820114037;1343.464097806882
1570.0;-0.03174307705943568;65.88743126522593;-1340.1683419923247;1341.7869944507536
1572.0;-0.03184549820526257;65.93561621602726;-1338.4919487563316;1340.1149959504628
1574.0;-0.03194760778561498;65.98280564645464;-1336.8206745760804;1338.4480739330252
1576.0;-0.03204939886598986;66.0289921758;-1335.1544918146105;1336.7862001159658
1578.0;-0.03215086448666558;66.07416844088223;-1333.4933729230775;1335.1293463050388
1580.0;-0.03225199766194699;66.11832709415454;-1331.8372904385017;1333.477484391956
1582.0;-0.032352791379448444;66.16146080187106;-1330.1862169814688;1331.8305863520739
1584.0;-0.03245323859931091;66.20356224225054;-1328.540125253835;1330.1886242420803
1586.0;-0.03255333225349944;66.24462410367543;-1326.8989880363984;1328.551570197655
1588.0;-0.03265306524501264;66.28463908289727;-1325.262778186559;1326.919396431112
1590.0;-0.03275243044717245;66.3235998832799;-1323.6314686359597;1325.2920752290283
1592.0;-0.03285142070284233;66.36149921304836;-1322.0050323880996;1323.6695789498463
1594.0;-0.032950028823707456;66.39832978356225;-1320.383442515932;1322.0518800214577
1596.0;-0.03304824758949586;66.43408430760623;-1318.766672159439;1320.4389509387668
1598.0;-0.03314606974724314;66.46875549770924;-1317.154694523181;1318.8307642612333
1600.0;-0.033243488010517616;66.50233606445825;-1315.5474828738265;1317.2272926103874
1602.0;-0.03334049505869375;66.53481871485894;-1313.9450105376495;1315.6285086673224
1604.0;-0.033437083536169636;66.56619615068959;-1312.34725089801;1314.0343851701662
1606.0;-0.033533246051602794;66.59646106688008;-1310.754177392804;1312.4448949115229
1608.0;-0.03362897517717604;66.6256061499165;-1309.1657635118884;1310.8600107358945
1610.0;-0.033724263447803424;66.65362407624662;-1307.5819827944695;1309.2797055370613
1612.0;-0.0338191033603826;66.68050751070882;-1306.0028088264753;1307.7039522554517
1614.0;-0.033913487373027934;66.70624910497854;-1304.4282152378903;1306.1327238754734
1616.0;-0.03400740790429105;66.7308414960236;-1302.8581757000545;1304.5659934228095
1618.0;-0.03410085733239692;66.754277304579;-1301.2926639229397;1303.0037339616943
1620.0;-0.034193827994465444;66.77654913363665;-1299.7316536523883;1301.4459185921514
1622.0;-0.034286312185752545;66.79764956694373;-1298.1751186673137;1299.8925204471952
1624.0;-0.03437830215884662;66.81757116752168;-1296.623032776871;1298.3435126900038
1626.0;-0.03446979012290878;66.83630647619806;-1295.0753698175888;1296.798868511052
1628.0;-0.03456076824288688;66.85384801014477;-1293.532103650462;1295.2585611252116
1630.0;-0.03465122863874132;66.87018826143964;-1291.9932081580066;1293.7225637688084
1632.0;-0.034741163384638875;66.88531969563522;-1290.4586572412725;1292.1908496966441
1634.0;-0.034830564508179555;66.89923475034044;-1288.928424816814;1290.6633921789733
1636.0;-0.03491942398961967;66.91192583382055;-1287.4024848136248;1289.1401644984483
1638.0;-0.03500773376105618;66.92338532360498;-1285.8808111700132;1287.6211399470044
1640.0;-0.03509548570565282;66.93360556510223;-1284.3633778304477;1286.1062918227178
1642.0;-0.03518267165684685;66.94257887024376;-1282.850158742342;1284.5955934266049
1644.0;-0.035269283397530805;66.95029751612289;-1281.3411278528042;1283.0890180593838
1646.0;-0.035355312659290386;66.95675374365965;-1279.8362591053171;1281.5865390181739
1648.0;-0.03544075112156792;66.96193975626643;-1278.335526436389;1280.0881295931626
1650.0;-0.035525590410898575;66.96584771853297;-1276.8389037721308;1278.5937630642027
1652.0;-0.035609822100077786;66.96846975492771;-1275.3463650247882;1277.1034126973652
1654.0;-0.03569343770737928;66.96979794849389;-1273.857884089217;1275.617051741438
1656.0;-0.03577642869573816;66.96982433958341;-1272.3734348392927;1274.1346534243603
1658.0;-0.03585878647195363;66.96854092458136;-1270.892991124269;1272.6561909496054
1660.0;-0.03594050238588393;66.96593965465365;-1269.416526765063;1271.1816374924972
1662.0;-0.03602156772963176;66.96201243450376;-1267.944015550485;1269.7109661964676
1664.0;-0.03610197373674431;66.95675112114562;-1266.4754312333928;1268.2441501692438
1666.0;-0.03618171158140472;66.95014752268823;-1265.0107475267891;1266.7811624789797
